"filename", "language", "TypeScript", "JavaScript", "JSON", "Ignore", "TypeScript JSX", "JSON with Comments", "XML", "SQL", "Prisma", "CSS", "Docker", "Markdown", "comment", "blank", "total"
"e:\Work\timer-app-ts\interface\shared.ts", "TypeScript", 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 311
"e:\Work\timer-app-ts\interface\timer.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 113
"e:\Work\timer-app-ts\package.json", "JSON", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"e:\Work\timer-app-ts\prisma\migrations\20240331192941_add\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 24, 34, 204
"e:\Work\timer-app-ts\prisma\migrations\20240331193020_add\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 59, 24, 137
"e:\Work\timer-app-ts\prisma\migrations\20240401091907_update\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 10, 3, 16
"e:\Work\timer-app-ts\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 2, 14, 161
"e:\Work\timer-app-ts\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"e:\Work\timer-app-ts\vite.config.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 56
"Total", "-", 872, 12, 66, 13, 1708, 26, 52, 203, 145, 62, 10, 184, 125, 345, 3823
